District_Name,UnitName,FIR_YEAR,FIR_MONTH,FIR_Day,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,Place of Offence,Male,Female,Boy,Girl,VICTIM COUNT,Accused Count,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count
Udupi,Udupi Rural PS,2023,7,9,Non Heinous,UI,Oral,THEFT,Chain Snatching,13.594177,75.353581,IPC Section 455,A.K.NAIK (PI),"Near Main Market / Junction, Udupi",0,3,0,0,3,3,1,2,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2023,2,4,Non Heinous,Dis/Acq,Oral,ASSAULT,Assault on Public Servant,18.17536,75.61222,IPC Section 301,N.S.KUMAR (PSI),"Near Main Market / Junction, Hubballi Dharwad City",2,0,0,1,2,2,2,2,0
Kodagu,Kodagu Town PS,2022,9,14,Non Heinous,BoundOver,Oral,THEFT,Theft from House,17.983259,77.719244,IPC Section 432,S.B.DEVAR (PSI),"Near Main Market / Junction, Kodagu",0,1,0,0,1,3,3,3,0
Kalaburagi City,Kalaburagi City Rural PS,2025,9,28,Non Heinous,Traced,Online,FRAUD,Forgery,12.12182,75.844541,IPC Section 362,R S BIRADAR (PI),"Near Main Market / Junction, Kalaburagi City",0,1,1,0,1,2,2,1,0
Belagavi Dist,Belagavi Dist Central PS,2024,10,4,Non Heinous,UI,Oral,FRAUD,Financial Scam,17.291962,76.538791,IPC Section 380,G.H.KUPPI (PSI),"Near Main Market / Junction, Belagavi Dist",1,1,0,0,2,2,1,1,0
Ballari,Ballari Traffic PS,2024,9,1,Non Heinous,Transfered,Typed,RIOTS,Political Riots,12.117692,74.623571,IPC Section 360,M.S.PATIL (PSI),"Near Main Market / Junction, Ballari",0,1,0,0,1,2,2,1,0
Shivamogga,Shivamogga Rural PS,2022,6,4,Heinous,Convicted,Online,POCSO,Child Abuse,15.248833,78.192936,IPC Section 494,K.V.RAMESH (PI),"Near Main Market / Junction, Shivamogga",3,0,0,0,3,3,1,3,2
Hubballi Dharwad City,Hubballi Dharwad City Town PS,2023,12,12,Non Heinous,Traced,Typed,RIOTS,Communal Riots,17.736248,75.922882,IPC Section 462,R S BIRADAR (PI),"Near Main Market / Junction, Hubballi Dharwad City",0,2,0,0,2,4,4,0,0
Dakshina Kannada,Dakshina Kannada Central PS,2023,5,26,Heinous,BoundOver,Written,POCSO,Child Abuse,15.566566,74.665759,IPC Section 453,N.S.KUMAR (PSI),"Near Main Market / Junction, Dakshina Kannada",2,1,0,0,3,3,0,3,0
Dharwad,Dharwad Rural PS,2024,5,4,Heinous,Convicted,Online,KIDNAPPING,Abduction,14.618315,75.616847,IPC Section 465,N.S.KUMAR (PSI),"Near Main Market / Junction, Dharwad",0,1,0,0,1,3,3,1,3
Kodagu,Kodagu Rural PS,2023,12,10,Heinous,UI,Oral,MURDER,Dowry Murder,17.273224,75.111246,IPC Section 323,N.S.KUMAR (PSI),"Near Main Market / Junction, Kodagu",1,0,0,0,1,1,0,1,0
Vijayanagara,Vijayanagara Traffic PS,2023,4,25,Heinous,UI,Oral,MURDER,Murder due to Enmity,16.30772,77.182715,IPC Section 469,M.S.PATIL (PSI),"Near Main Market / Junction, Vijayanagara",2,1,0,0,3,4,3,1,0
Chikkamagaluru,Chikkamagaluru Cyber Crime PS,2021,11,22,Non Heinous,UI,Oral,RIOTS,Communal Riots,17.381109,77.69231,IPC Section 458,A.K.NAIK (PI),"Near Main Market / Junction, Chikkamagaluru",1,1,0,1,2,2,2,1,0
Mangaluru City,Mangaluru City Cyber Crime PS,2024,11,28,Non Heinous,Convicted,Typed,ASSAULT,Assault on Public Servant,13.406473,76.980227,IPC Section 473,R S BIRADAR (PI),"Near Main Market / Junction, Mangaluru City",0,1,0,0,1,4,2,3,1
Kolar,Kolar Rural PS,2024,1,1,Non Heinous,Pending Trial,Typed,NARCOTICS,Drug Peddling,12.491789,78.21406,IPC Section 428,G.H.KUPPI (PSI),"Near Main Market / Junction, Kolar",2,1,1,0,3,1,0,1,0
Vijayapur,Vijayapur Cyber Crime PS,2021,11,4,Non Heinous,Convicted,Written,BURGLARY,House Breaking by Night,13.087513,77.356754,IPC Section 349,A.K.NAIK (PI),"Near Main Market / Junction, Vijayapur",1,0,0,0,1,2,1,1,2
Belagavi Dist,Belagavi Dist Town PS,2025,2,19,Non Heinous,Convicted,Written,RIOTS,Student Riots,14.192467,78.293211,IPC Section 303,M.S.PATIL (PSI),"Near Main Market / Junction, Belagavi Dist",1,2,0,0,3,1,0,0,1
Shivamogga,Shivamogga Traffic PS,2024,8,8,Non Heinous,UI,Online,BURGLARY,Shop Burglary,15.969279,74.947634,IPC Section 422,S.B.DEVAR (PSI),"Near Main Market / Junction, Shivamogga",1,1,1,0,2,2,1,2,0
Bengaluru City,Bengaluru City Rural PS,2022,1,6,Non Heinous,Pending Trial,Written,FRAUD,Embezzlement,12.358673,74.680829,IPC Section 390,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru City",2,1,0,0,3,4,2,2,0
K.G.F,K.G.F Traffic PS,2022,6,13,Non Heinous,Pending Trial,Typed,RIOTS,Political Riots,13.718246,77.601151,IPC Section 316,N.S.KUMAR (PSI),"Near Main Market / Junction, K.G.F",0,1,1,0,1,2,0,0,0
Gadag,Gadag Cyber Crime PS,2021,4,21,Non Heinous,BoundOver,Written,NARCOTICS,NDPS Possession,12.248511,75.493601,IPC Section 500,N.S.KUMAR (PSI),"Near Main Market / Junction, Gadag",1,1,0,0,2,3,1,3,0
Bengaluru City,Bengaluru City Town PS,2023,8,10,Non Heinous,Convicted,Online,NARCOTICS,Drug Peddling,15.167574,78.216902,IPC Section 369,A.K.NAIK (PI),"Near Main Market / Junction, Bengaluru City",0,2,0,0,2,1,0,1,1
Tumakuru,Tumakuru Cyber Crime PS,2023,10,18,Non Heinous,Convicted,Written,NARCOTICS,Drug Peddling,17.122705,74.792206,IPC Section 384,M.S.PATIL (PSI),"Near Main Market / Junction, Tumakuru",1,2,0,0,3,4,4,4,3
Ramanagara,Ramanagara Rural PS,2024,8,18,Heinous,Pending Trial,Typed,KIDNAPPING,Kidnapping for Ransom,16.647707,77.147736,IPC Section 426,N.S.KUMAR (PSI),"Near Main Market / Junction, Ramanagara",0,1,1,0,1,3,1,2,0
Hubballi Dharwad City,Hubballi Dharwad City Cyber Crime PS,2022,9,20,Heinous,Convicted,Oral,MURDER,Dowry Murder,18.191903,75.843926,IPC Section 367,N.S.KUMAR (PSI),"Near Main Market / Junction, Hubballi Dharwad City",2,1,0,0,3,4,2,3,4
Mysuru Dist,Mysuru Dist Cyber Crime PS,2021,12,5,Heinous,Pending Trial,Written,POCSO,POCSO Assault,11.850495,76.961316,IPC Section 466,A.K.NAIK (PI),"Near Main Market / Junction, Mysuru Dist",1,0,0,0,1,4,0,2,0
Chikkamagaluru,Chikkamagaluru Traffic PS,2022,2,4,Non Heinous,Convicted,Online,RIOTS,Group Clash,13.490999,74.47908,IPC Section 315,N.S.KUMAR (PSI),"Near Main Market / Junction, Chikkamagaluru",0,1,0,0,1,4,4,0,4
Bengaluru Rural,Bengaluru Rural Cyber Crime PS,2024,7,26,Non Heinous,Dis/Acq,Written,BURGLARY,House Breaking by Night,17.905524,76.697144,IPC Section 470,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Rural",1,2,0,1,3,2,0,0,0
Ramanagara,Ramanagara Rural PS,2024,11,14,Non Heinous,Convicted,Typed,THEFT,Motor Vehicle Theft,15.274728,77.128248,IPC Section 421,S.B.DEVAR (PSI),"Near Main Market / Junction, Ramanagara",1,0,0,0,1,2,0,2,1
Ramanagara,Ramanagara Central PS,2025,7,18,Non Heinous,Pending Trial,Written,THEFT,Theft from House,17.520131,78.494507,IPC Section 492,G.H.KUPPI (PSI),"Near Main Market / Junction, Ramanagara",0,3,1,0,3,2,0,1,0
Chitradurga,Chitradurga Rural PS,2024,10,28,Heinous,UI,Online,KIDNAPPING,Abduction,16.032346,76.924099,IPC Section 387,K.V.RAMESH (PI),"Near Main Market / Junction, Chitradurga",1,0,0,0,1,1,0,0,0
Tumakuru,Tumakuru Cyber Crime PS,2024,7,10,Heinous,Pending Trial,Online,MURDER,Murder for Gain,16.736548,75.394317,IPC Section 345,R S BIRADAR (PI),"Near Main Market / Junction, Tumakuru",2,0,0,0,2,1,0,0,0
Yadgir,Yadgir Rural PS,2024,6,28,Non Heinous,Traced,Online,THEFT,Theft from House,15.066649,74.734684,IPC Section 421,R S BIRADAR (PI),"Near Main Market / Junction, Yadgir",1,2,0,0,3,4,4,0,0
Kodagu,Kodagu Cyber Crime PS,2025,2,6,Non Heinous,Transfered,Online,FRAUD,Forgery,13.160568,77.798763,IPC Section 408,M.S.PATIL (PSI),"Near Main Market / Junction, Kodagu",0,2,0,0,2,3,3,0,0
Kalaburagi City,Kalaburagi City Town PS,2023,6,17,Non Heinous,UI,Oral,BURGLARY,House Breaking by Day,14.679556,75.968398,IPC Section 381,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi City",1,1,1,0,2,2,1,1,0
Belagavi City,Belagavi City Central PS,2023,4,28,Non Heinous,Pending Trial,Oral,RIOTS,Group Clash,12.080086,78.305594,IPC Section 378,A.K.NAIK (PI),"Near Main Market / Junction, Belagavi City",1,1,0,0,2,2,1,0,0
Hubballi Dharwad City,Hubballi Dharwad City Central PS,2023,11,22,Non Heinous,Traced,Online,NARCOTICS,Ganja Seizure,15.786249,75.526971,IPC Section 307,M.S.PATIL (PSI),"Near Main Market / Junction, Hubballi Dharwad City",3,0,0,0,3,3,3,3,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2025,7,3,Non Heinous,Dis/Acq,Online,ASSAULT,Assault on Women,12.034443,77.736821,IPC Section 303,K.V.RAMESH (PI),"Near Main Market / Junction, Hubballi Dharwad City",3,0,0,0,3,3,0,2,0
