fir_id,accused_id,arrest_date,status
2,8,2025-02-07T14:00:00,UNDER_INQUIRY
3,9,2024-04-20T15:00:00,UNDER_INQUIRY
4,7,2025-08-06T19:00:00,UNDER_INQUIRY
5,10,2024-09-11T07:00:00,ARRESTED
7,5,2023-11-26T02:00:00,ARRESTED
8,6,2026-02-19T14:00:00,UNDER_INQUIRY
9,5,2023-11-30T07:00:00,ARRESTED
10,7,2025-05-09T16:00:00,UNDER_INQUIRY
11,10,2024-11-12T10:00:00,ARRESTED
14,2,2023-03-09T07:00:00,ARRESTED
16,9,2025-06-07T19:00:00,UNDER_INQUIRY
17,8,2023-07-26T23:00:00,ARRESTED
19,10,2026-05-13T13:00:00,UNDER_INQUIRY
20,8,2025-12-03T12:00:00,UNDER_INQUIRY
21,1,2025-05-05T17:00:00,UNDER_INQUIRY
22,7,2024-02-09T09:00:00,ARRESTED
23,2,2023-02-21T21:00:00,ARRESTED
24,9,2026-01-13T22:00:00,UNDER_INQUIRY
25,1,2023-11-12T23:00:00,ARRESTED
26,2,2023-11-04T14:00:00,ARRESTED
28,9,2023-01-24T07:00:00,ARRESTED
29,5,2023-10-07T17:00:00,ARRESTED
31,6,2025-10-19T20:00:00,UNDER_INQUIRY
32,6,2026-03-12T21:00:00,UNDER_INQUIRY
33,8,2025-02-12T22:00:00,UNDER_INQUIRY
35,1,2024-09-03T06:00:00,UNDER_INQUIRY
37,9,2023-06-10T15:00:00,ARRESTED
38,6,2025-08-23T22:00:00,UNDER_INQUIRY
39,10,2025-01-22T21:00:00,UNDER_INQUIRY
40,1,2024-01-31T07:00:00,ARRESTED
41,3,2024-04-19T05:00:00,ARRESTED
42,9,2023-08-01T05:00:00,ARRESTED
43,2,2024-12-10T22:00:00,ARRESTED
44,10,2024-08-25T13:00:00,ARRESTED
46,10,2025-12-13T08:00:00,UNDER_INQUIRY
48,1,2024-06-21T12:00:00,UNDER_INQUIRY
49,6,2024-05-29T05:00:00,ARRESTED
50,1,2026-01-22T16:00:00,UNDER_INQUIRY
51,9,2026-05-19T20:00:00,UNDER_INQUIRY
52,2,2025-05-11T23:00:00,UNDER_INQUIRY
53,4,2024-04-12T19:00:00,ARRESTED
54,4,2023-03-18T03:00:00,ARRESTED
56,7,2024-02-11T04:00:00,ARRESTED
57,5,2024-10-27T07:00:00,UNDER_INQUIRY
58,10,2026-02-21T23:00:00,UNDER_INQUIRY
59,6,2024-06-16T03:00:00,ARRESTED
61,3,2024-10-26T09:00:00,UNDER_INQUIRY
63,5,2024-11-11T04:00:00,UNDER_INQUIRY
64,3,2024-10-04T18:00:00,ARRESTED
65,8,2023-09-18T03:00:00,ARRESTED
66,2,2024-10-28T13:00:00,ARRESTED
68,9,2023-02-20T08:00:00,ARRESTED
69,8,2026-01-16T14:00:00,UNDER_INQUIRY
70,1,2023-03-16T01:00:00,ARRESTED
71,8,2023-01-21T10:00:00,ARRESTED
72,2,2024-05-20T03:00:00,UNDER_INQUIRY
74,9,2023-10-29T10:00:00,ARRESTED
76,10,2024-11-16T06:00:00,UNDER_INQUIRY
77,5,2023-03-06T09:00:00,ARRESTED
78,3,2026-01-11T13:00:00,UNDER_INQUIRY
79,10,2024-08-14T10:00:00,ARRESTED
80,1,2025-05-30T06:00:00,UNDER_INQUIRY
81,10,2023-12-18T07:00:00,ARRESTED
82,4,2024-11-05T12:00:00,ARRESTED
83,10,2023-05-16T20:00:00,ARRESTED
84,10,2024-12-04T14:00:00,ARRESTED
85,4,2024-05-24T14:00:00,ARRESTED
86,3,2026-05-29T02:00:00,UNDER_INQUIRY
87,10,2026-03-20T21:00:00,UNDER_INQUIRY
88,6,2026-02-17T05:00:00,UNDER_INQUIRY
89,4,2024-11-04T18:00:00,ARRESTED
