fir_id,accused_id,conviction_date,sentence_months,status
5,10,2024-12-12T07:00:00,12,CONVICTED
9,5,2024-10-24T07:00:00,24,CONVICTED
17,8,2023-11-06T23:00:00,120,CONVICTED
22,7,2024-12-16T09:00:00,6,CONVICTED
23,2,2023-10-15T21:00:00,24,CONVICTED
25,1,2024-03-17T23:00:00,36,CONVICTED
26,2,2024-05-26T14:00:00,36,CONVICTED
28,9,2023-11-05T07:00:00,36,CONVICTED
29,5,2024-05-10T17:00:00,6,CONVICTED
37,9,2023-12-14T15:00:00,36,CONVICTED
40,1,2024-09-05T07:00:00,36,CONVICTED
43,2,2025-04-11T22:00:00,120,CONVICTED
49,6,2025-05-07T05:00:00,6,CONVICTED
53,4,2024-07-23T19:00:00,120,CONVICTED
54,4,2023-08-12T03:00:00,24,CONVICTED
56,7,2024-09-09T04:00:00,120,CONVICTED
71,8,2023-06-30T10:00:00,36,CONVICTED
77,5,2023-06-16T09:00:00,120,CONVICTED
79,10,2025-02-28T10:00:00,120,CONVICTED
81,10,2024-07-16T07:00:00,12,CONVICTED
83,10,2024-03-09T20:00:00,6,CONVICTED
107,5,2024-04-08T04:00:00,6,CONVICTED
110,1,2024-05-27T23:00:00,6,CONVICTED
124,7,2025-02-17T19:00:00,24,CONVICTED
126,1,2024-12-24T21:00:00,120,CONVICTED
130,6,2024-02-20T14:00:00,36,CONVICTED
132,6,2025-05-20T02:00:00,24,CONVICTED
137,3,2023-12-02T16:00:00,36,CONVICTED
144,6,2025-09-26T23:00:00,36,CONVICTED
149,6,2024-11-14T08:00:00,24,CONVICTED
154,5,2024-08-12T22:00:00,24,CONVICTED
158,4,2024-01-05T21:00:00,12,CONVICTED
159,1,2024-08-04T03:00:00,6,CONVICTED
170,5,2024-05-15T18:00:00,36,CONVICTED
178,10,2024-05-10T14:00:00,24,CONVICTED
179,5,2024-03-04T16:00:00,36,CONVICTED
185,1,2023-06-19T07:00:00,24,CONVICTED
199,1,2024-11-24T14:00:00,24,CONVICTED
205,7,2023-07-22T03:00:00,120,CONVICTED
215,6,2023-12-18T16:00:00,24,CONVICTED
225,9,2024-12-20T08:00:00,24,CONVICTED
234,7,2025-04-09T23:00:00,6,CONVICTED
249,1,2025-04-02T16:00:00,120,CONVICTED
