ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,39,8,10,5
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,22,4,3,3
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,24,6,2,3
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,19,4,1,1
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,2,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,10,2,1,3
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,4,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,7,2,0,2
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,48,5,7,4
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,21,0,2,6
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,5,0,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,33,13,3,7
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,45,3,4,7
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,14,2,2,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,61,9,9,9
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,35,8,2,3
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,8,0,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,32,2,1,6
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,1,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,2,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),2,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,23,1,2,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,3,1,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,2,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,6,1,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,4,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,128,21,17,15
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,94,24,13,10
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,9,1,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,201,23,26,17
