Sl.No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A-IPC CRIME,Murder (Sec.302/303 IPC),For gain,17,3,0,1
2,A-IPC CRIME,Murder (Sec.302/303 IPC),Over Property Dispute,11,1,1,2
3,A-IPC CRIME,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,24,5,6,3
4,A-IPC CRIME,Murder (Sec.302/303 IPC),Due to Sexual jealousy,14,1,2,2
5,A-IPC CRIME,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A-IPC CRIME,Murder (Sec.302/303 IPC),For dowry by other means,2,1,0,0
7,A-IPC CRIME,Murder (Sec.302/303 IPC),Due to Communalism,1,0,0,0
8,A-IPC CRIME,Murder (Sec.302/303 IPC),Due to Casteism,3,1,0,0
9,A-IPC CRIME,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A-IPC CRIME,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
11,A-IPC CRIME,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A-IPC CRIME,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0
13,A-IPC CRIME,Murder (Sec.302/303 IPC),Due to Adultery,18,1,1,2
14,A-IPC CRIME,Murder (Sec.302/303 IPC),Civil Disputes,37,4,5,2
15,A-IPC CRIME,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
16,A-IPC CRIME,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0
17,A-IPC CRIME,Murder (Sec.302/303 IPC),Love Intrigue,10,1,1,2
18,A-IPC CRIME,Murder (Sec.302/303 IPC),Professional ,1,0,0,1
19,A-IPC CRIME,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A-IPC CRIME,Murder (Sec.302/303 IPC),Rape with Murder,9,1,1,1
21,A-IPC CRIME,Murder (Sec.302/303 IPC),Revenge/Enemity,32,4,8,3
22,A-IPC CRIME,Murder (Sec.302/303 IPC),Sudden Quarrel,76,2,11,3
23,A-IPC CRIME,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
24,A-IPC CRIME,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
25,A-IPC CRIME,Murder (Sec.302/303 IPC),Due to Other Causes,627,62,78,80
26,A-IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,20,4,4,5
27,A-IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,46,7,4,5
28,A-IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,77,9,10,14
29,A-IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,13,1,1,0
30,A-IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,33,7,3,5
31,A-IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,0,0,0
32,A-IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,5,1,0,0
33,A-IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,3,1,0,1
