ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,50,4,5,3
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,27,1,2,4
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,33,3,0,2
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,29,3,2,2
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,3,1,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,10,2,1,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2,0,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,5,1,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,11,1,2,0
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,64,3,5,1
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,25,2,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,9,2,2,0
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,49,7,3,4
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,69,5,6,6
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,1,0,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,934,86,73,75
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,20,3,1,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,85,6,4,9
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,55,6,3,6
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,12,0,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,51,7,9,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,6,0,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,5,0,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),2,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,1,1,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,29,6,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,4,2,0,0
