ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,9,4,3,6
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,4,1,2,2
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,4,3,1,3
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,5,2,1,4
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,1,0,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,1,1,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,4,0,3,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,0,4,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,12,11,4,8
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,1,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,6,3,2,4
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,2,0,1,1
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,7,8,5,2
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,8,8,6,2
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
