SL.NO,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A- IPC Crime,Murder (Sec.302/303 IPC),For gain,6,7,1,5
2,A- IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,1,1,0,1
3,A- IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,4,4,2,2
4,A- IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,3,2,2,1
5,A- IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A- IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,3,1,2,1
7,A- IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
8,A- IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,2,0,0
9,A- IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A- IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
11,A- IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A- IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0
13,A- IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,6,1,5,1
14,A- IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,10,5,4,6
15,A- IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
16,A- IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
17,A- IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,4,2,1,3
18,A- IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
19,A- IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A- IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,1,0,1,0
21,A- IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,8,5,1,7
22,A- IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,16,6,10,6
23,A- IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
24,A- IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
25,A- IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,165,67,79,86
26,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,5,0,2,3
27,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,23,8,10,13
28,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,19,11,9,10
29,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,4,2,0,4
30,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,10,4,2,8
31,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,1,0,0
32,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,3,2,1,2
33,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2,0,2,0
34,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
35,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
36,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
37,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,2,1,2,0
38,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,0,2,0,0
39,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
40,A- IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,1,2,1,0
