Sl. No.,CRIEM HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,1,7,4,1,,,,,,,
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,0,4,2,0,,,,,,,
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,1,4,0,1,,,,,,,
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,2,6,2,2,,,,,,,
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0,,,,,,,
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,2,0,1,2,,,,,,,
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0,,,,,,,
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,0,0,0,,,,,,,
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0,,,,,,,
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0,,,,,,,
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0,,,,,,,
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,1,0,,,,,,,
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,5,0,0,5,,,,,,,
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,4,7,0,4,,,,,,,
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0,,,,,,,
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0,,,,,,,
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,1,1,4,1,,,,,,,
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0,,,,,,,
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0,,,,,,,
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,1,1,0,1,,,,,,,
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,1,3,6,1,,,,,,,
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,9,5,5,9,,,,,,,
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0,,,,,,,
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0,,,,,,,
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,77,75,83,77,,,,,,,
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,2,5,4,2,,,,,,,
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,10,8,10,10,,,,,,,
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,10,4,4,10,,,,,,,
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,0,2,2,0,,,,,,,
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,2,2,1,2,,,,,,,
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,0,1,0,,,,,,,
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,1,0,0,1,,,,,,,
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2,0,1,2,,,,,,,
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0,,,,,,,
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0,,,,,,,
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,,
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,2,1,2,2,,,,,,,
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,0,0,0,0,,,,,,,
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0,,,,,,,
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,1,0,0,1,,,,,,,
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,3,1,3,3,,,,,,,
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,1,0,0,1,,,,,,,
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0,,,,,,,
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,18,15,7,18,,,,,,,
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,31,16,11,31,,,,,,,
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,0,1,0,0,,,,,,,
47,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Other Causes,128,158,147,128,,,,,,,
