ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,35,3,3,10
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,19,2,2,3
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,21,4,3,2
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,18,4,3,1
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,2,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,7,0,2,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,4,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,5,1,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,44,9,2,7
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,15,2,4,2
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,4,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,26,11,2,3
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,37,8,8,3
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,14,2,4,3
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,52,10,8,9
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,31,4,4,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,8,0,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,26,1,7,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,2,2,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2,1,2,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),2,0,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,23,0,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,3,0,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,2,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,5,3,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,4,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,114,14,12,17
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,84,14,12,13
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,9,1,2,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,185,37,36,26
