Sl. No.,A - IPC Crime,MAJOR HEADS,MINOR HEADS,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,33,11,3,7,
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,21,3,3,2,
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,28,4,4,4,
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,19,1,4,0,
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0,
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,10,0,2,1,
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,1,0,0,1,
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,2,1,0,0,
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0,
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0,
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0,
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,2,0,0,0,
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,7,0,0,0,
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,44,9,7,2,
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0,
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,1,0,
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,6,2,1,0,
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0,
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0,
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,3,1,1,0,
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,41,5,7,9,
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,58,4,8,12,
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,1,0,0,1,
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,1,0,0,0,
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,565,102,80,87,
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,13,1,1,0,
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,71,8,10,6,
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,51,2,7,7,
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,16,0,3,1,
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,28,1,9,3,
