ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,12,2,6,3
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,9,2,2,5
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,7,2,3,3
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,6,1,4,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,2,0,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,2,3,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,1,0,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,4,0,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,3,0,0,3
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,18,1,12,2
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,7,1,4,1
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,2,1,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,13,5,2,6
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,13,4,2,5
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,5,4,2,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,23,13,6,11
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,20,6,4,10
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,6,1,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,15,4,2,5
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,1,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),1,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,15,2,2,3
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,2,0,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,2,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,0,1,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,4,2,2,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,2,1,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,47,16,18,16
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,35,20,12,14
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,4,0,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,64,20,19,22
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),15,4,4,5
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Civil Dispute,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Property Disputes,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,1,1,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,1,0,0,1
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Gain,1,0,0,1
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,0,1,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,1,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),"RAPE (Sec.376, 376(A) to 376 (D) IPC)",19,6,4,8
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Custodial Rape,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Attempt to Commit,0,2,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By a Gang,3,1,1,1
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Parents,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Hospital Staff,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Husband During Sepearation,3,0,1,2
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Neighbours,12,2,4,4
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Relatives,21,2,6,8
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),In Jail Custody,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),In Remand Home,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),InCest,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Known Person,63,24,16,25
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Unknown Person,2,0,1,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),On Minor,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,142,34,40,59
