ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,20,2,2,3
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,14,4,1,4
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,17,7,6,4
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,15,2,5,3
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,2,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,3,1,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,2,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,4,1,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,3,3,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,35,13,7,9
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,10,1,3,0
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,3,0,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,21,14,7,2
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,26,13,5,6
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,7,5,1,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,37,11,7,6
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,26,17,4,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,8,1,2,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,19,1,3,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,1,0,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),1,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
