Sl. No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,10,4,2,2
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,7,6,1,4
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,13,2,4,3
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,8,1,1,2
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,5,2,1,2
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,0,0
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,13,2,2,2
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,23,10,0,7
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,5,1,1,0
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,7,0,1,3
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,17,3,4,2
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,51,5,15,3
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,386,93,70,74
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,10,2,0,3
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,36,10,1,4
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,47,9,7,6
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,11,2,4,2
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,22,5,2,7
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,0,0,0
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,5,0,0,0
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,3,0,0,1
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,16,5,0,13
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,5,0,2,3
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
