SL NO,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,48,1,7,4
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,24,2,3,0
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,46,1,6,8
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,22,6,1,1
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,15,0,1,3
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,1,0,0,0
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,3,0,0,0
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,1,0,0
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,3,0,1,0
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,9,2,1,0
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,55,4,4,2
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,1,0,0
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,10,2,1,1
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,4,4,0,0
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,58,5,5,8
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,75,7,7,8
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,1,0,0,0
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,1,0,0,0
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,787,97,75,85
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,25,2,5,3
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,85,6,6,5
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,76,5,8,9
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,20,2,2,1
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,42,5,4,2
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,0,0,0
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,6,2,0,0
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,4,1,0,0
