ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,42,5,6,2
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,22,1,3,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,28,2,3,3
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,20,1,1,1
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,2,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,10,1,3,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),1,0,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,4,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,7,4,2,0
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,51,3,4,4
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,23,1,6,2
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,5,1,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,36,4,7,4
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,49,7,7,4
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,1,1,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,17,2,1,3
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,67,6,9,7
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,40,4,3,5
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,9,1,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,35,2,6,4
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,0,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,3,0,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),2,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,26,1,0,3
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,3,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,3,1,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,7,1,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,4,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,143,13,15,16
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,110,18,10,17
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,9,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,230,16,17,30
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,0,1,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Dowry,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,1,0,0,1
