Sl. No.,A - IPC Crime,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,44,2,4,6
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,24,0,1,3
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,38,3,5,6
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,21,4,1,1
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,13,1,2,1
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,1,0,0,0
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,3,0,1,0
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,3,0,0,1
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,9,0,1,1
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,53,5,4,4
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,9,2,2,1
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,4,0,1,0
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,49,5,3,5
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,67,4,2,7
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,1,0,0,0
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,1,0,0,0
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,706,69,63,75
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,22,3,4,5
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,81,5,7,6
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,67,4,9,8
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,19,1,1,2
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,42,5,8,6
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,0,0,0
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,6,1,1,0
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,4,0,1,0
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,22,3,2,6
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,7,0,1,0
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
