Sl. No.,A - IPC Crime,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,37,6,7,4
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,22,4,2,1
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,32,3,4,5
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,20,2,0,1
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,12,2,1,2
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,1,0,1,0
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,3,0,0,1
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,2,0,0,0
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,8,3,0,1
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,48,5,2,4
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,8,6,0,2
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,4,0,0,1
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,44,8,9,3
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,60,8,12,2
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,1,0,1,0
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,1,0,0,0
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,628,80,88,59
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,17,1,0,4
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,76,7,6,7
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,59,3,6,9
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,17,0,1,1
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,36,6,3,8
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,1,0,0
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,5,0,2,0
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,4,0,2,1
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,14,0,0,2
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,7,0,1,1
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,2,0,0,0
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,13,0,0,3
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,1,0,0,0
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,146,16,19,21
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,164,10,21,30
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,10,0,1,1
47,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Other Causes,1241,124,140,161
48,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,232,16,14,24
49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0,0,0,0
