Sl. No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A- IPC CRIME,Murder (Sec.302/303 IPC),For gain,56,3,2,4
2,A- IPC CRIME,Murder (Sec.302/303 IPC),Over Property Dispute,27,5,1,2
3,A- IPC CRIME,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,48,2,2,0
4,A- IPC CRIME,Murder (Sec.302/303 IPC),Due to Sexual jealousy,27,3,3,2
5,A- IPC CRIME,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A- IPC CRIME,Murder (Sec.302/303 IPC),For dowry by other means,15,0,0,1
7,A- IPC CRIME,Murder (Sec.302/303 IPC),Due to Communalism,1,0,0,0
8,A- IPC CRIME,Murder (Sec.302/303 IPC),Due to Casteism,8,0,0,0
9,A- IPC CRIME,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A- IPC CRIME,Murder (Sec.302/303 IPC),For Human Sacrifice,1,0,1,0
11,A- IPC CRIME,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A- IPC CRIME,Murder (Sec.302/303 IPC),For Political Reasons,2,1,0,1
13,A- IPC CRIME,Murder (Sec.302/303 IPC),Due to Adultery,10,0,1,0
14,A- IPC CRIME,Murder (Sec.302/303 IPC),Civil Disputes,67,1,11,1
15,A- IPC CRIME,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
16,A- IPC CRIME,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0
17,A- IPC CRIME,Murder (Sec.302/303 IPC),Love Intrigue,15,0,3,4
18,A- IPC CRIME,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
19,A- IPC CRIME,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A- IPC CRIME,Murder (Sec.302/303 IPC),Rape with Murder,5,0,1,0
21,A- IPC CRIME,Murder (Sec.302/303 IPC),Revenge/Enemity,69,6,6,5
22,A- IPC CRIME,Murder (Sec.302/303 IPC),Sudden Quarrel,89,7,5,6
23,A- IPC CRIME,Murder (Sec.302/303 IPC),Village Dispute,1,0,0,0
24,A- IPC CRIME,Murder (Sec.302/303 IPC),Custodial,2,1,0,0
25,A- IPC CRIME,Murder (Sec.302/303 IPC),Due to Other Causes,934,73,66,83
26,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,30,1,1,4
27,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,102,7,8,10
28,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,89,5,9,4
29,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,23,0,1,2
30,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,48,1,5,1
31,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,2,0,0,1
32,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,6,1,0,0
33,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,5,2,0,1
34,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
35,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
36,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
37,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,25,2,0,2
38,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,7,0,0,0
39,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
40,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,2,3,0,0
41,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,19,1,2,3
42,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,1,1,0,0
43,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
44,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,222,12,19,7
45,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,228,15,16,12
46,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,13,2,0,0
47,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Other Causes,1804,151,150,146
48,A- IPC CRIME,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,323,35,21,27
49,A- IPC CRIME,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0,0,0,0
50,A- IPC CRIME,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,1,0,0,0
51,A- IPC CRIME,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,0,0,0,0
52,A- IPC CRIME,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0,0,0,0
