name,category
House Break-in,Theft & Burglary
Vehicle Theft,Theft & Burglary
Chain Snatching,Theft & Burglary
Pickpocketing,Theft & Burglary
Assault,Crimes Against Persons
Attempted Murder,Crimes Against Persons
Murder,Crimes Against Persons
Kidnapping,Crimes Against Persons
Phishing Fraud,Cyber Crime
Identity Theft,Cyber Crime
Social Media Abuse,Cyber Crime
Ransomware Attack,Cyber Crime
NDPS Possession,Narcotics
Drug Trafficking,Narcotics
Local Distribution,Narcotics
Corporate Embezzlement,Economic Offenses
Land Scam,Economic Offenses
Ponzi Scheme Fraud,Economic Offenses
Domestic Violence,Women & Child Safety
Dowry Harassment,Women & Child Safety
POCSO Act Violations,Women & Child Safety
