id,name,population,risk_score,risk_factors,urbanization_rate,literacy_rate,unemployment_rate,poverty_rate,geom
1,Kalaburagi,2566326,95,Risk based on urbanization 32.56% and unemp 57.64%.,32.56,55.62,57.64,16.08,"MULTIPOLYGON(((76.73780000000001 17.2304, 76.9378 17.2304, 76.9378 17.430400000000002, 76.73780000000001 17.430400000000002, 76.73780000000001 17.2304)))"
2,Mysuru Dist,3001127,95,Risk based on urbanization 41.5% and unemp 56.21%.,41.5,65.38,56.21,19.16,"MULTIPOLYGON(((76.55080000000001 12.2086, 76.7508 12.2086, 76.7508 12.4086, 76.55080000000001 12.4086, 76.55080000000001 12.2086)))"
3,Mangaluru City,2089649,95,Risk based on urbanization 47.67% and unemp 52.25%.,47.67,79.74,52.25,16.67,"MULTIPOLYGON(((74.7436 12.7596, 74.94359999999999 12.7596, 74.94359999999999 12.9596, 74.7436 12.9596, 74.7436 12.7596)))"
4,Coastal Security Police,1177361,95,Risk based on urbanization 28.37% and unemp 56.41%.,28.37,78.69,56.41,11.07,"MULTIPOLYGON(((74.6421 13.2409, 74.84209999999999 13.2409, 74.84209999999999 13.4409, 74.6421 13.4409, 74.6421 13.2409)))"
5,Bengaluru City,9621551,95,Risk based on urbanization 90.94% and unemp 55.86%.,90.94,78.08,55.86,10.19,"MULTIPOLYGON(((77.4714 12.8778, 77.67139999999999 12.8778, 77.67139999999999 13.0778, 77.4714 13.0778, 77.4714 12.8778)))"
6,Raichur,1928812,95,Risk based on urbanization 25.42% and unemp 53.16%.,25.42,50.8,53.16,15.86,"MULTIPOLYGON(((77.2556 16.112, 77.45559999999999 16.112, 77.45559999999999 16.312, 77.2556 16.312, 77.2556 16.112)))"
7,Kodagu,554519,95,Risk based on urbanization 14.61% and unemp 49.7%.,14.61,74.46,49.7,17.32,"MULTIPOLYGON(((75.638 12.3244, 75.838 12.3244, 75.838 12.5244, 75.638 12.5244, 75.638 12.3244)))"
8,Mandya,1805769,95,Risk based on urbanization 17.08% and unemp 51.74%.,17.08,63.67,51.74,11.76,"MULTIPOLYGON(((76.7951 12.421800000000001, 76.9951 12.421800000000001, 76.9951 12.6218, 76.7951 12.6218, 76.7951 12.421800000000001)))"
9,Tumakuru,2678980,95,Risk based on urbanization 22.36% and unemp 49.43%.,22.36,67.69,49.43,18.21,"MULTIPOLYGON(((77.0006 13.2409, 77.2006 13.2409, 77.2006 13.4409, 77.0006 13.4409, 77.0006 13.2409)))"
10,Haveri,1597668,95,Risk based on urbanization 22.25% and unemp 54.3%.,22.25,67.94,54.3,15.62,"MULTIPOLYGON(((75.3027 14.6964, 75.50269999999999 14.6964, 75.50269999999999 14.8964, 75.3027 14.8964, 75.3027 14.6964)))"
11,Uttara Kannada,1437169,95,Risk based on urbanization 29.15% and unemp 57.66%.,29.15,75.28,57.66,10.0,"MULTIPOLYGON(((74.0304 14.7085, 74.23039999999999 14.7085, 74.23039999999999 14.9085, 74.0304 14.9085, 74.0304 14.7085)))"
12,Ballari,2452595,95,Risk based on urbanization 37.52% and unemp 54.46%.,37.52,57.96,54.46,14.79,"MULTIPOLYGON(((76.82140000000001 15.0394, 77.0214 15.0394, 77.0214 15.2394, 76.82140000000001 15.2394, 76.82140000000001 15.0394)))"
13,Bengaluru Urban,9621551,95,Risk based on urbanization 90.94% and unemp 55.86%.,90.94,78.08,55.86,10.19,"MULTIPOLYGON(((77.4946 12.8716, 77.6946 12.8716, 77.6946 13.0716, 77.4946 13.0716, 77.4946 12.8716)))"
14,Vijayanagara,2452595,95,Risk based on urbanization 37.52% and unemp 54.46%.,37.52,57.96,54.46,14.79,"MULTIPOLYGON(((76.82140000000001 15.0394, 77.0214 15.0394, 77.0214 15.2394, 76.82140000000001 15.2394, 76.82140000000001 15.0394)))"
15,Vijayapur,2177331,95,Risk based on urbanization 23.05% and unemp 57.39%.,23.05,57.33,57.39,20.42,"MULTIPOLYGON(((75.61 16.7302, 75.80999999999999 16.7302, 75.80999999999999 16.930200000000003, 75.61 16.930200000000003, 75.61 16.7302)))"
16,Yadgir,1174271,95,Risk based on urbanization 18.79% and unemp 53.36%.,18.79,43.43,53.36,9.35,"MULTIPOLYGON(((77.0377 16.668599999999998, 77.23769999999999 16.668599999999998, 77.23769999999999 16.8686, 77.0377 16.8686, 77.0377 16.668599999999998)))"
17,Koppal,1389920,95,Risk based on urbanization 16.81% and unemp 52.89%.,16.81,58.21,52.89,9.41,"MULTIPOLYGON(((76.0553 15.2468, 76.25529999999999 15.2468, 76.25529999999999 15.4468, 76.0553 15.4468, 76.0553 15.2468)))"
18,Chitradurga,1659456,95,Risk based on urbanization 19.86% and unemp 48.38%.,19.86,65.53,48.38,17.86,"MULTIPOLYGON(((76.298 14.1251, 76.49799999999999 14.1251, 76.49799999999999 14.325099999999999, 76.298 14.325099999999999, 76.298 14.1251)))"
19,Hubballi Dharwad City,1847023,95,Risk based on urbanization 56.82% and unemp 57.51%.,56.82,70.47,57.51,8.49,"MULTIPOLYGON(((75.03840000000001 15.2524, 75.2384 15.2524, 75.2384 15.452399999999999, 75.03840000000001 15.452399999999999, 75.03840000000001 15.2524)))"
20,K.G.F,1536401,95,Risk based on urbanization 31.25% and unemp 53.28%.,31.25,66.14,53.28,21.36,"MULTIPOLYGON(((78.0292 13.0368, 78.22919999999999 13.0368, 78.22919999999999 13.236799999999999, 78.0292 13.236799999999999, 78.0292 13.0368)))"
21,Dakshina Kannada,2089649,95,Risk based on urbanization 47.67% and unemp 52.25%.,47.67,79.74,52.25,16.67,"MULTIPOLYGON(((74.7436 12.7596, 74.94359999999999 12.7596, 74.94359999999999 12.9596, 74.7436 12.9596, 74.7436 12.7596)))"
22,Davanagere,1945497,95,Risk based on urbanization 32.33% and unemp 55.01%.,32.33,67.26,55.01,14.16,"MULTIPOLYGON(((75.82180000000001 14.3644, 76.0218 14.3644, 76.0218 14.5644, 75.82180000000001 14.5644, 75.82180000000001 14.3644)))"
23,Bagalkot,1889752,95,Risk based on urbanization 31.64% and unemp 56.71%.,31.64,58.92,56.71,14.94,"MULTIPOLYGON(((75.59580000000001 16.081699999999998, 75.7958 16.081699999999998, 75.7958 16.2817, 75.59580000000001 16.2817, 75.59580000000001 16.081699999999998)))"
24,Hassan,1776421,95,Risk based on urbanization 21.21% and unemp 49.13%.,21.21,68.97,49.13,16.87,"MULTIPOLYGON(((76.0026 12.9072, 76.20259999999999 12.9072, 76.20259999999999 13.107199999999999, 76.0026 13.107199999999999, 76.0026 12.9072)))"
25,Gadag,1064570,95,Risk based on urbanization 35.63% and unemp 53.43%.,35.63,65.77,53.43,10.71,"MULTIPOLYGON(((75.5425 15.332, 75.74249999999999 15.332, 75.74249999999999 15.532, 75.5425 15.532, 75.5425 15.332)))"
26,Kolar,1536401,95,Risk based on urbanization 31.25% and unemp 53.28%.,31.25,66.14,53.28,21.36,"MULTIPOLYGON(((78.0292 13.0368, 78.22919999999999 13.0368, 78.22919999999999 13.236799999999999, 78.0292 13.236799999999999, 78.0292 13.0368)))"
27,Belagavi City,4779661,95,Risk based on urbanization 25.34% and unemp 55.95%.,25.34,63.85,55.95,21.79,"MULTIPOLYGON(((74.4084 15.7524, 74.60839999999999 15.7524, 74.60839999999999 15.952399999999999, 74.4084 15.952399999999999, 74.4084 15.7524)))"
28,Bidar,1703300,95,Risk based on urbanization 25.01% and unemp 58.75%.,25.01,61.21,58.75,21.23,"MULTIPOLYGON(((77.41990000000001 17.810399999999998, 77.6199 17.810399999999998, 77.6199 18.0104, 77.41990000000001 18.0104, 77.41990000000001 17.810399999999998)))"
29,Ramanagara,1082636,95,Risk based on urbanization 24.73% and unemp 50.91%.,24.73,62.33,50.91,17.37,"MULTIPOLYGON(((77.18100000000001 12.615, 77.381 12.615, 77.381 12.815, 77.18100000000001 12.815, 77.18100000000001 12.615)))"
30,Chickballapura,1255104,95,Risk based on urbanization 22.4% and unemp 49.03%.,22.4,62.4,49.03,10.06,"MULTIPOLYGON(((77.62440000000001 13.3354, 77.8244 13.3354, 77.8244 13.5354, 77.62440000000001 13.5354, 77.62440000000001 13.3354)))"
31,Bengaluru Rural,990923,95,Risk based on urbanization 27.12% and unemp 53.59%.,27.12,69.51,53.59,8.76,"MULTIPOLYGON(((77.2878 12.997, 77.4878 12.997, 77.4878 13.197, 77.2878 13.197, 77.2878 12.997)))"
32,Chikkamagaluru,1137961,95,Risk based on urbanization 21.05% and unemp 50.28%.,21.05,71.91,50.28,15.03,"MULTIPOLYGON(((75.676 13.218, 75.87599999999999 13.218, 75.87599999999999 13.418, 75.676 13.418, 75.676 13.218)))"
33,Udupi,1177361,95,Risk based on urbanization 28.37% and unemp 56.41%.,28.37,78.69,56.41,11.07,"MULTIPOLYGON(((74.6421 13.2409, 74.84209999999999 13.2409, 74.84209999999999 13.4409, 74.6421 13.4409, 74.6421 13.2409)))"
34,Mysuru City,3001127,95,Risk based on urbanization 41.5% and unemp 56.21%.,41.5,65.38,56.21,19.16,"MULTIPOLYGON(((76.55080000000001 12.2086, 76.7508 12.2086, 76.7508 12.4086, 76.55080000000001 12.4086, 76.55080000000001 12.2086)))"
35,Chamarajanagar,1020791,95,Risk based on urbanization 17.14% and unemp 52.81%.,17.14,55.38,52.81,12.57,"MULTIPOLYGON(((76.84020000000001 11.8261, 77.0402 11.8261, 77.0402 12.0261, 76.84020000000001 12.0261, 76.84020000000001 11.8261)))"
36,Shivamogga,1752753,95,Risk based on urbanization 35.59% and unemp 55.46%.,35.59,72.06,55.46,12.85,"MULTIPOLYGON(((75.4681 13.8299, 75.6681 13.8299, 75.6681 14.0299, 75.4681 14.0299, 75.4681 13.8299)))"
37,Belagavi Dist,4779661,95,Risk based on urbanization 25.34% and unemp 55.95%.,25.34,63.85,55.95,21.79,"MULTIPOLYGON(((74.4084 15.7524, 74.60839999999999 15.7524, 74.60839999999999 15.952399999999999, 74.4084 15.952399999999999, 74.4084 15.7524)))"
38,Dharwad,1847023,95,Risk based on urbanization 56.82% and unemp 57.51%.,56.82,70.47,57.51,8.49,"MULTIPOLYGON(((74.90780000000001 15.3589, 75.1078 15.3589, 75.1078 15.5589, 74.90780000000001 15.5589, 74.90780000000001 15.3589)))"
39,Bengaluru Dist,9621551,95,Risk based on urbanization 90.94% and unemp 55.86%.,90.94,78.08,55.86,10.19,"MULTIPOLYGON(((77.4946 12.8716, 77.6946 12.8716, 77.6946 13.0716, 77.4946 13.0716, 77.4946 12.8716)))"
40,Kalaburagi City,2566326,95,Risk based on urbanization 32.56% and unemp 57.64%.,32.56,55.62,57.64,16.08,"MULTIPOLYGON(((76.7278 17.220399999999998, 76.92779999999999 17.220399999999998, 76.92779999999999 17.4204, 76.7278 17.4204, 76.7278 17.220399999999998)))"
