id,name,badge_number,rank,station_id,status
1,Officer KSP-1-00,KSP-1-00,Inspector,1,ACTIVE
2,Officer KSP-1-01,KSP-1-01,Sub-Inspector,1,ACTIVE
3,Officer KSP-2-00,KSP-2-00,Inspector,2,ACTIVE
4,Officer KSP-2-01,KSP-2-01,Sub-Inspector,2,ACTIVE
5,Officer KSP-3-00,KSP-3-00,Inspector,3,ACTIVE
6,Officer KSP-3-01,KSP-3-01,Sub-Inspector,3,ACTIVE
7,Officer KSP-4-00,KSP-4-00,Inspector,4,ACTIVE
8,Officer KSP-4-01,KSP-4-01,Sub-Inspector,4,ACTIVE
9,Officer KSP-5-00,KSP-5-00,Inspector,5,ACTIVE
10,Officer KSP-5-01,KSP-5-01,Sub-Inspector,5,ACTIVE
11,Officer KSP-6-00,KSP-6-00,Inspector,6,ACTIVE
12,Officer KSP-6-01,KSP-6-01,Sub-Inspector,6,ACTIVE
13,Officer KSP-7-00,KSP-7-00,Inspector,7,ACTIVE
14,Officer KSP-7-01,KSP-7-01,Sub-Inspector,7,ACTIVE
15,Officer KSP-8-00,KSP-8-00,Inspector,8,ACTIVE
16,Officer KSP-8-01,KSP-8-01,Sub-Inspector,8,ACTIVE
17,Officer KSP-9-00,KSP-9-00,Inspector,9,ACTIVE
18,Officer KSP-9-01,KSP-9-01,Sub-Inspector,9,ACTIVE
19,Officer KSP-10-00,KSP-10-00,Inspector,10,ACTIVE
20,Officer KSP-10-01,KSP-10-01,Sub-Inspector,10,ACTIVE
21,Officer KSP-11-00,KSP-11-00,Inspector,11,ACTIVE
22,Officer KSP-11-01,KSP-11-01,Sub-Inspector,11,ACTIVE
23,Officer KSP-12-00,KSP-12-00,Inspector,12,ACTIVE
24,Officer KSP-12-01,KSP-12-01,Sub-Inspector,12,ACTIVE
25,Officer KSP-13-00,KSP-13-00,Inspector,13,ACTIVE
26,Officer KSP-13-01,KSP-13-01,Sub-Inspector,13,ACTIVE
27,Officer KSP-14-00,KSP-14-00,Inspector,14,ACTIVE
28,Officer KSP-14-01,KSP-14-01,Sub-Inspector,14,ACTIVE
29,Officer KSP-15-00,KSP-15-00,Inspector,15,ACTIVE
30,Officer KSP-15-01,KSP-15-01,Sub-Inspector,15,ACTIVE
31,Officer KSP-16-00,KSP-16-00,Inspector,16,ACTIVE
32,Officer KSP-16-01,KSP-16-01,Sub-Inspector,16,ACTIVE
33,Officer KSP-17-00,KSP-17-00,Inspector,17,ACTIVE
34,Officer KSP-17-01,KSP-17-01,Sub-Inspector,17,ACTIVE
35,Officer KSP-18-00,KSP-18-00,Inspector,18,ACTIVE
36,Officer KSP-18-01,KSP-18-01,Sub-Inspector,18,ACTIVE
37,Officer KSP-19-00,KSP-19-00,Inspector,19,ACTIVE
38,Officer KSP-19-01,KSP-19-01,Sub-Inspector,19,ACTIVE
39,Officer KSP-20-00,KSP-20-00,Inspector,20,ACTIVE
40,Officer KSP-20-01,KSP-20-01,Sub-Inspector,20,ACTIVE
41,Officer KSP-21-00,KSP-21-00,Inspector,21,ACTIVE
42,Officer KSP-21-01,KSP-21-01,Sub-Inspector,21,ACTIVE
43,Officer KSP-22-00,KSP-22-00,Inspector,22,ACTIVE
44,Officer KSP-22-01,KSP-22-01,Sub-Inspector,22,ACTIVE
45,Officer KSP-23-00,KSP-23-00,Inspector,23,ACTIVE
46,Officer KSP-23-01,KSP-23-01,Sub-Inspector,23,ACTIVE
47,Officer KSP-24-00,KSP-24-00,Inspector,24,ACTIVE
48,Officer KSP-24-01,KSP-24-01,Sub-Inspector,24,ACTIVE
49,Officer KSP-25-00,KSP-25-00,Inspector,25,ACTIVE
50,Officer KSP-25-01,KSP-25-01,Sub-Inspector,25,ACTIVE
51,Officer KSP-26-00,KSP-26-00,Inspector,26,ACTIVE
52,Officer KSP-26-01,KSP-26-01,Sub-Inspector,26,ACTIVE
53,Officer KSP-27-00,KSP-27-00,Inspector,27,ACTIVE
54,Officer KSP-27-01,KSP-27-01,Sub-Inspector,27,ACTIVE
55,Officer KSP-28-00,KSP-28-00,Inspector,28,ACTIVE
56,Officer KSP-28-01,KSP-28-01,Sub-Inspector,28,ACTIVE
57,Officer KSP-29-00,KSP-29-00,Inspector,29,ACTIVE
58,Officer KSP-29-01,KSP-29-01,Sub-Inspector,29,ACTIVE
59,Officer KSP-30-00,KSP-30-00,Inspector,30,ACTIVE
60,Officer KSP-30-01,KSP-30-01,Sub-Inspector,30,ACTIVE
61,Officer KSP-31-00,KSP-31-00,Inspector,31,ACTIVE
62,Officer KSP-31-01,KSP-31-01,Sub-Inspector,31,ACTIVE
63,Officer KSP-32-00,KSP-32-00,Inspector,32,ACTIVE
64,Officer KSP-32-01,KSP-32-01,Sub-Inspector,32,ACTIVE
65,Officer KSP-33-00,KSP-33-00,Inspector,33,ACTIVE
66,Officer KSP-33-01,KSP-33-01,Sub-Inspector,33,ACTIVE
67,Officer KSP-34-00,KSP-34-00,Inspector,34,ACTIVE
68,Officer KSP-34-01,KSP-34-01,Sub-Inspector,34,ACTIVE
69,Officer KSP-35-00,KSP-35-00,Inspector,35,ACTIVE
70,Officer KSP-35-01,KSP-35-01,Sub-Inspector,35,ACTIVE
71,Officer KSP-36-00,KSP-36-00,Inspector,36,ACTIVE
72,Officer KSP-36-01,KSP-36-01,Sub-Inspector,36,ACTIVE
73,Officer KSP-37-00,KSP-37-00,Inspector,37,ACTIVE
74,Officer KSP-37-01,KSP-37-01,Sub-Inspector,37,ACTIVE
75,Officer KSP-38-00,KSP-38-00,Inspector,38,ACTIVE
76,Officer KSP-38-01,KSP-38-01,Sub-Inspector,38,ACTIVE
77,Officer KSP-39-00,KSP-39-00,Inspector,39,ACTIVE
78,Officer KSP-39-01,KSP-39-01,Sub-Inspector,39,ACTIVE
79,Officer KSP-40-00,KSP-40-00,Inspector,40,ACTIVE
80,Officer KSP-40-01,KSP-40-01,Sub-Inspector,40,ACTIVE
81,Officer KSP-41-00,KSP-41-00,Inspector,41,ACTIVE
82,Officer KSP-41-01,KSP-41-01,Sub-Inspector,41,ACTIVE
83,Officer KSP-42-00,KSP-42-00,Inspector,42,ACTIVE
84,Officer KSP-42-01,KSP-42-01,Sub-Inspector,42,ACTIVE
85,Officer KSP-43-00,KSP-43-00,Inspector,43,ACTIVE
86,Officer KSP-43-01,KSP-43-01,Sub-Inspector,43,ACTIVE
87,Officer KSP-44-00,KSP-44-00,Inspector,44,ACTIVE
88,Officer KSP-44-01,KSP-44-01,Sub-Inspector,44,ACTIVE
89,Officer KSP-45-00,KSP-45-00,Inspector,45,ACTIVE
90,Officer KSP-45-01,KSP-45-01,Sub-Inspector,45,ACTIVE
91,Officer KSP-46-00,KSP-46-00,Inspector,46,ACTIVE
92,Officer KSP-46-01,KSP-46-01,Sub-Inspector,46,ACTIVE
93,Officer KSP-47-00,KSP-47-00,Inspector,47,ACTIVE
94,Officer KSP-47-01,KSP-47-01,Sub-Inspector,47,ACTIVE
95,Officer KSP-48-00,KSP-48-00,Inspector,48,ACTIVE
96,Officer KSP-48-01,KSP-48-01,Sub-Inspector,48,ACTIVE
97,Officer KSP-49-00,KSP-49-00,Inspector,49,ACTIVE
98,Officer KSP-49-01,KSP-49-01,Sub-Inspector,49,ACTIVE
99,Officer KSP-50-00,KSP-50-00,Inspector,50,ACTIVE
100,Officer KSP-50-01,KSP-50-01,Sub-Inspector,50,ACTIVE
101,Officer KSP-51-00,KSP-51-00,Inspector,51,ACTIVE
102,Officer KSP-51-01,KSP-51-01,Sub-Inspector,51,ACTIVE
103,Officer KSP-52-00,KSP-52-00,Inspector,52,ACTIVE
104,Officer KSP-52-01,KSP-52-01,Sub-Inspector,52,ACTIVE
105,Officer KSP-53-00,KSP-53-00,Inspector,53,ACTIVE
106,Officer KSP-53-01,KSP-53-01,Sub-Inspector,53,ACTIVE
107,Officer KSP-54-00,KSP-54-00,Inspector,54,ACTIVE
108,Officer KSP-54-01,KSP-54-01,Sub-Inspector,54,ACTIVE
109,Officer KSP-55-00,KSP-55-00,Inspector,55,ACTIVE
110,Officer KSP-55-01,KSP-55-01,Sub-Inspector,55,ACTIVE
111,Officer KSP-56-00,KSP-56-00,Inspector,56,ACTIVE
112,Officer KSP-56-01,KSP-56-01,Sub-Inspector,56,ACTIVE
113,Officer KSP-57-00,KSP-57-00,Inspector,57,ACTIVE
114,Officer KSP-57-01,KSP-57-01,Sub-Inspector,57,ACTIVE
115,Officer KSP-58-00,KSP-58-00,Inspector,58,ACTIVE
116,Officer KSP-58-01,KSP-58-01,Sub-Inspector,58,ACTIVE
117,Officer KSP-59-00,KSP-59-00,Inspector,59,ACTIVE
118,Officer KSP-59-01,KSP-59-01,Sub-Inspector,59,ACTIVE
119,Officer KSP-60-00,KSP-60-00,Inspector,60,ACTIVE
120,Officer KSP-60-01,KSP-60-01,Sub-Inspector,60,ACTIVE
121,Officer KSP-61-00,KSP-61-00,Inspector,61,ACTIVE
122,Officer KSP-61-01,KSP-61-01,Sub-Inspector,61,ACTIVE
123,Officer KSP-62-00,KSP-62-00,Inspector,62,ACTIVE
124,Officer KSP-62-01,KSP-62-01,Sub-Inspector,62,ACTIVE
125,Officer KSP-63-00,KSP-63-00,Inspector,63,ACTIVE
126,Officer KSP-63-01,KSP-63-01,Sub-Inspector,63,ACTIVE
127,Officer KSP-64-00,KSP-64-00,Inspector,64,ACTIVE
128,Officer KSP-64-01,KSP-64-01,Sub-Inspector,64,ACTIVE
129,Officer KSP-65-00,KSP-65-00,Inspector,65,ACTIVE
