District_Name,UnitName
Bagalkot,Bagalkot Central PS
Bagalkot,Bagalkot Cyber Crime PS
Bagalkot,Bagalkot Rural PS
Bagalkot,Bagalkot Town PS
Bagalkot,Bagalkot Traffic PS
Ballari,Ballari Central PS
Ballari,Ballari Cyber Crime PS
Ballari,Ballari Rural PS
Ballari,Ballari Town PS
Ballari,Ballari Traffic PS
Belagavi City,Belagavi City Central PS
Belagavi City,Belagavi City Cyber Crime PS
Belagavi City,Belagavi City Rural PS
Belagavi City,Belagavi City Town PS
Belagavi City,Belagavi City Traffic PS
Belagavi Dist,Belagavi Dist Central PS
Belagavi Dist,Belagavi Dist Cyber Crime PS
Belagavi Dist,Belagavi Dist Rural PS
Belagavi Dist,Belagavi Dist Town PS
Belagavi Dist,Belagavi Dist Traffic PS
Bengaluru City,Bengaluru City Central PS
Bengaluru City,Bengaluru City Cyber Crime PS
Bengaluru City,Bengaluru City Rural PS
Bengaluru City,Bengaluru City Town PS
Bengaluru City,Bengaluru City Traffic PS
Bengaluru Dist,Bengaluru Dist Central PS
Bengaluru Dist,Bengaluru Dist Cyber Crime PS
Bengaluru Dist,Bengaluru Dist Rural PS
Bengaluru Dist,Bengaluru Dist Town PS
Bengaluru Dist,Bengaluru Dist Traffic PS
Bengaluru Rural,Bengaluru Rural Central PS
Bengaluru Rural,Bengaluru Rural Cyber Crime PS
Bengaluru Rural,Bengaluru Rural Rural PS
Bengaluru Rural,Bengaluru Rural Town PS
Bengaluru Rural,Bengaluru Rural Traffic PS
Bengaluru Urban,Bengaluru Urban Central PS
Bengaluru Urban,Bengaluru Urban Cyber Crime PS
Bengaluru Urban,Bengaluru Urban Rural PS
Bengaluru Urban,Bengaluru Urban Town PS
Bengaluru Urban,Bengaluru Urban Traffic PS
Bidar,Bidar Central PS
Bidar,Bidar Cyber Crime PS
Bidar,Bidar Rural PS
Bidar,Bidar Town PS
Bidar,Bidar Traffic PS
Chamarajanagar,Chamarajanagar Central PS
Chamarajanagar,Chamarajanagar Cyber Crime PS
Chamarajanagar,Chamarajanagar Rural PS
Chamarajanagar,Chamarajanagar Town PS
Chamarajanagar,Chamarajanagar Traffic PS
Chickballapura,Chickballapura Central PS
Chickballapura,Chickballapura Cyber Crime PS
Chickballapura,Chickballapura Rural PS
Chickballapura,Chickballapura Town PS
Chickballapura,Chickballapura Traffic PS
Chikkamagaluru,Chikkamagaluru Central PS
Chikkamagaluru,Chikkamagaluru Cyber Crime PS
Chikkamagaluru,Chikkamagaluru Rural PS
Chikkamagaluru,Chikkamagaluru Town PS
Chikkamagaluru,Chikkamagaluru Traffic PS
Chitradurga,Chitradurga Central PS
Chitradurga,Chitradurga Cyber Crime PS
Chitradurga,Chitradurga Rural PS
Chitradurga,Chitradurga Town PS
Chitradurga,Chitradurga Traffic PS
Coastal Security Police,Coastal Security Police Central PS
Coastal Security Police,Coastal Security Police Cyber Crime PS
Coastal Security Police,Coastal Security Police Rural PS
Coastal Security Police,Coastal Security Police Town PS
Coastal Security Police,Coastal Security Police Traffic PS
Dakshina Kannada,Dakshina Kannada Central PS
Dakshina Kannada,Dakshina Kannada Cyber Crime PS
Dakshina Kannada,Dakshina Kannada Rural PS
Dakshina Kannada,Dakshina Kannada Town PS
Dakshina Kannada,Dakshina Kannada Traffic PS
Davanagere,Davanagere Central PS
Davanagere,Davanagere Cyber Crime PS
Davanagere,Davanagere Rural PS
Davanagere,Davanagere Town PS
Davanagere,Davanagere Traffic PS
Dharwad,Dharwad Central PS
Dharwad,Dharwad Cyber Crime PS
Dharwad,Dharwad Rural PS
Dharwad,Dharwad Town PS
Dharwad,Dharwad Traffic PS
Gadag,Gadag Central PS
Gadag,Gadag Cyber Crime PS
Gadag,Gadag Rural PS
Gadag,Gadag Town PS
Gadag,Gadag Traffic PS
Hassan,Hassan Central PS
Hassan,Hassan Cyber Crime PS
Hassan,Hassan Rural PS
Hassan,Hassan Town PS
Hassan,Hassan Traffic PS
Haveri,Haveri Central PS
Haveri,Haveri Cyber Crime PS
Haveri,Haveri Rural PS
Haveri,Haveri Town PS
Haveri,Haveri Traffic PS
Hubballi Dharwad City,Hubballi Dharwad City Central PS
Hubballi Dharwad City,Hubballi Dharwad City Cyber Crime PS
Hubballi Dharwad City,Hubballi Dharwad City Rural PS
Hubballi Dharwad City,Hubballi Dharwad City Town PS
Hubballi Dharwad City,Hubballi Dharwad City Traffic PS
K.G.F,K.G.F Central PS
K.G.F,K.G.F Cyber Crime PS
K.G.F,K.G.F Rural PS
K.G.F,K.G.F Town PS
K.G.F,K.G.F Traffic PS
Kalaburagi,Kalaburagi Central PS
Kalaburagi,Kalaburagi Cyber Crime PS
Kalaburagi,Kalaburagi Rural PS
Kalaburagi,Kalaburagi Town PS
Kalaburagi,Kalaburagi Traffic PS
Kalaburagi City,Kalaburagi City Central PS
Kalaburagi City,Kalaburagi City Cyber Crime PS
Kalaburagi City,Kalaburagi City Rural PS
Kalaburagi City,Kalaburagi City Town PS
Kalaburagi City,Kalaburagi City Traffic PS
Kodagu,Kodagu Central PS
Kodagu,Kodagu Cyber Crime PS
Kodagu,Kodagu Rural PS
Kodagu,Kodagu Town PS
Kodagu,Kodagu Traffic PS
Kolar,Kolar Central PS
Kolar,Kolar Cyber Crime PS
Kolar,Kolar Rural PS
Kolar,Kolar Town PS
Kolar,Kolar Traffic PS
Koppal,Koppal Central PS
Koppal,Koppal Cyber Crime PS
Koppal,Koppal Rural PS
Koppal,Koppal Town PS
Koppal,Koppal Traffic PS
Mandya,Mandya Central PS
Mandya,Mandya Cyber Crime PS
Mandya,Mandya Rural PS
Mandya,Mandya Town PS
Mandya,Mandya Traffic PS
Mangaluru City,Mangaluru City Central PS
Mangaluru City,Mangaluru City Cyber Crime PS
Mangaluru City,Mangaluru City Rural PS
