id,name,district_id,taluk_id,latitude,longitude,geom
1,Bagalkot Town PS,23,,16.571343853185013,76.00710276183898,POINT(76.00710276183898 16.571343853185013)
2,Ballari Rural PS,12,,15.052919684296514,75.39142357392798,POINT(75.39142357392798 15.052919684296514)
3,Ballari Town PS,12,,17.62380623957542,76.41655162305418,POINT(76.41655162305418 17.62380623957542)
4,Belagavi City Rural PS,27,,13.748996628167193,75.57588735754021,POINT(75.57588735754021 13.748996628167193)
5,Belagavi City Town PS,27,,16.29370969822992,76.62366518563965,POINT(76.62366518563965 16.29370969822992)
6,Belagavi Dist Town PS,37,,14.970254672907313,75.35548582634078,POINT(75.35548582634078 14.970254672907313)
7,Bengaluru City Rural PS,5,,15.387790790409703,75.49961302864546,POINT(75.49961302864546 15.387790790409703)
8,Bengaluru City Town PS,5,,14.945875794769563,76.06360396304527,POINT(76.06360396304527 14.945875794769563)
9,Bengaluru Dist Rural PS,39,,15.477158632508926,75.9687728241393,POINT(75.9687728241393 15.477158632508926)
10,Bengaluru Dist Town PS,39,,16.015949649719147,76.69277245650126,POINT(76.69277245650126 16.015949649719147)
11,Bengaluru Rural Rural PS,31,,15.061273609159668,76.08238053853583,POINT(76.08238053853583 15.061273609159668)
12,Bengaluru Rural Town PS,31,,16.35539373099685,75.83362396549201,POINT(75.83362396549201 16.35539373099685)
13,Bengaluru Urban Rural PS,13,,14.108861709119472,75.63202701139373,POINT(75.63202701139373 14.108861709119472)
14,Bengaluru Urban Town PS,13,,15.42728153947796,75.95961593317122,POINT(75.95961593317122 15.42728153947796)
15,Bidar Rural PS,28,,16.193005275834008,75.94971597021765,POINT(75.94971597021765 16.193005275834008)
16,Bidar Town PS,28,,15.292568808465226,76.16416720079448,POINT(76.16416720079448 15.292568808465226)
17,Chamarajanagar Rural PS,35,,15.777309777074194,74.45668045972634,POINT(74.45668045972634 15.777309777074194)
18,Chamarajanagar Town PS,35,,14.187257677871315,76.00103893205593,POINT(76.00103893205593 14.187257677871315)
19,Chickballapura Rural PS,30,,12.267039213668884,75.58373294230299,POINT(75.58373294230299 12.267039213668884)
20,Chickballapura Town PS,30,,14.978131617608176,75.82484581487194,POINT(75.82484581487194 14.978131617608176)
21,Chikkamagaluru Rural PS,32,,16.20584888949633,77.86857200067905,POINT(77.86857200067905 16.20584888949633)
22,Chikkamagaluru Town PS,32,,16.10024612129588,76.295831378003,POINT(76.295831378003 16.10024612129588)
23,Chitradurga Rural PS,18,,15.425099706610538,76.24103580558995,POINT(76.24103580558995 15.425099706610538)
24,Chitradurga Town PS,18,,15.834599222522119,77.14725234364707,POINT(77.14725234364707 15.834599222522119)
25,Coastal Security Police Rural PS,4,,15.350142214995829,77.05059460286756,POINT(77.05059460286756 15.350142214995829)
26,Coastal Security Police Town PS,4,,15.157585098777766,75.57672525300232,POINT(75.57672525300232 15.157585098777766)
27,Dakshina Kannada Rural PS,21,,15.311442167279983,76.92831530570298,POINT(76.92831530570298 15.311442167279983)
28,Dakshina Kannada Town PS,21,,14.676428907630939,75.84849359023531,POINT(75.84849359023531 14.676428907630939)
29,Davanagere Rural PS,22,,13.645634800074731,74.948172105574,POINT(74.948172105574 13.645634800074731)
30,Davanagere Town PS,22,,15.136485359223077,76.94093963613311,POINT(76.94093963613311 15.136485359223077)
31,Dharwad Rural PS,38,,13.369518402622507,75.17926519367657,POINT(75.17926519367657 13.369518402622507)
32,Dharwad Town PS,38,,12.37005627185728,76.01567726058602,POINT(76.01567726058602 12.37005627185728)
33,Gadag Rural PS,25,,15.207849205449014,77.16547370871649,POINT(77.16547370871649 15.207849205449014)
34,Gadag Town PS,25,,15.365507691480143,75.66414084800132,POINT(75.66414084800132 15.365507691480143)
35,Hassan Rural PS,24,,13.257350955421304,74.7162623250667,POINT(74.7162623250667 13.257350955421304)
36,Hassan Town PS,24,,15.123685248719807,75.56113397488262,POINT(75.56113397488262 15.123685248719807)
37,Haveri Rural PS,10,,12.090735084716815,76.1309344808539,POINT(76.1309344808539 12.090735084716815)
38,Haveri Town PS,10,,15.2927687994086,76.639946659827,POINT(76.639946659827 15.2927687994086)
39,Hubballi Dharwad City Rural PS,19,,14.400064921669163,77.3043791956054,POINT(77.3043791956054 14.400064921669163)
40,Hubballi Dharwad City Town PS,19,,14.919315092681806,76.14947306736313,POINT(76.14947306736313 14.919315092681806)
41,K.G.F Rural PS,20,,13.120343012745732,76.43545804286647,POINT(76.43545804286647 13.120343012745732)
42,K.G.F Town PS,20,,15.29174789116835,75.81798676992648,POINT(75.81798676992648 15.29174789116835)
43,Kalaburagi Rural PS,1,,14.013085088802832,76.20393659092889,POINT(76.20393659092889 14.013085088802832)
44,Kalaburagi Town PS,1,,13.9548201063541,76.29279391344926,POINT(76.29279391344926 13.9548201063541)
45,Kalaburagi City Rural PS,40,,14.584481122263714,77.42303672870486,POINT(77.42303672870486 14.584481122263714)
46,Kalaburagi City Town PS,40,,12.045821647597975,76.75581310634132,POINT(76.75581310634132 12.045821647597975)
47,Kodagu Rural PS,7,,16.119064452919318,75.93584329613864,POINT(75.93584329613864 16.119064452919318)
48,Kodagu Town PS,7,,14.909410368917426,75.79122888743446,POINT(75.79122888743446 14.909410368917426)
49,Kolar Town PS,26,,15.918655285243881,75.57615478931864,POINT(75.57615478931864 15.918655285243881)
50,Koppal Rural PS,17,,16.033240333199004,76.61333738683345,POINT(76.61333738683345 16.033240333199004)
51,Koppal Town PS,17,,13.714397268688282,75.21460922848728,POINT(75.21460922848728 13.714397268688282)
52,Mandya Rural PS,8,,14.90514409724789,76.20624768072854,POINT(76.20624768072854 14.90514409724789)
53,Mandya Town PS,8,,14.776052576312079,76.90800454565554,POINT(76.90800454565554 14.776052576312079)
54,Mangaluru City Rural PS,3,,16.12111720303206,76.48125654922137,POINT(76.48125654922137 16.12111720303206)
55,Mangaluru City Town PS,3,,14.714029551065678,76.29582407747871,POINT(76.29582407747871 14.714029551065678)
56,Mysuru City Rural PS,34,,15.735173404702433,75.13758589314477,POINT(75.13758589314477 15.735173404702433)
57,Mysuru City Town PS,34,,14.01683192748517,76.19260697176712,POINT(76.19260697176712 14.01683192748517)
58,Mysuru Dist Rural PS,2,,12.798516456165542,76.15760012180681,POINT(76.15760012180681 12.798516456165542)
59,Mysuru Dist Town PS,2,,12.812568963535064,77.74041950519232,POINT(77.74041950519232 12.812568963535064)
60,Raichur Town PS,6,,15.581681616793599,77.07205948979573,POINT(77.07205948979573 15.581681616793599)
61,Ramanagara Rural PS,29,,17.175080608127374,75.92235271193813,POINT(75.92235271193813 17.175080608127374)
62,Ramanagara Town PS,29,,16.506585719030923,76.66955962725362,POINT(76.66955962725362 16.506585719030923)
63,Shivamogga Rural PS,36,,16.91522622508653,75.75031070257846,POINT(75.75031070257846 16.91522622508653)
64,Shivamogga Town PS,36,,14.181120846920686,75.67462479614134,POINT(75.67462479614134 14.181120846920686)
65,Tumakuru Rural PS,9,,15.115471493794516,75.2533813837146,POINT(75.2533813837146 15.115471493794516)
66,Tumakuru Town PS,9,,16.088991646277957,75.82129454384807,POINT(75.82129454384807 16.088991646277957)
67,Udupi Rural PS,33,,15.408753681045695,75.82408618654159,POINT(75.82408618654159 15.408753681045695)
68,Udupi Town PS,33,,15.46031901808546,76.07616128395186,POINT(76.07616128395186 15.46031901808546)
69,Uttara Kannada Rural PS,11,,17.25879361040984,74.98868476099446,POINT(74.98868476099446 17.25879361040984)
70,Uttara Kannada Town PS,11,,15.275249966832535,76.7517906562061,POINT(76.7517906562061 15.275249966832535)
71,Vijayanagara Rural PS,14,,12.895809429022336,77.15801184854752,POINT(77.15801184854752 12.895809429022336)
72,Vijayanagara Town PS,14,,16.0495202614065,75.58411714039666,POINT(75.58411714039666 16.0495202614065)
73,Vijayapur Town PS,15,,15.495516858476122,75.76766264751049,POINT(75.76766264751049 15.495516858476122)
74,Yadgir Rural PS,16,,13.010937500667747,75.75257462588087,POINT(75.75257462588087 13.010937500667747)
75,Yadgir Town PS,16,,14.767584170998742,75.69531097233774,POINT(75.69531097233774 14.767584170998742)
