id,source_file,month,year,sl_no,heads_of_crime,major_head,minor_head,upto_end_of_month,prev_year_month,previous_month,current_month,category_id,category_name,subcategory_id,subcategory_name,mapping_confidence,mapping_method
1,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,1,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For gain,11,3,1,1,2,Crimes Against Persons,7,Murder,0.95,substring
2,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,2,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Over Property Dispute,6,3,1,2,2,Crimes Against Persons,7,Murder,0.95,substring
3,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,3,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Personal Vendetta or enemity,8,1,3,5,2,Crimes Against Persons,7,Murder,0.95,substring
4,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,4,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Sexual jealousy,3,5,1,0,2,Crimes Against Persons,7,Murder,0.95,substring
5,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,5,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by burning,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
6,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,6,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For dowry by other means,2,1,0,1,2,Crimes Against Persons,7,Murder,0.95,substring
7,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,7,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Communalism,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
8,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,8,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Casteism,1,0,0,1,2,Crimes Against Persons,7,Murder,0.95,substring
9,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,9,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Witch Craft (Sorcery),0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
10,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,10,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Human Sacrifice,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
11,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,11,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Terrorism/Naxalism / Extremism,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
12,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,12,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",For Political Reasons,1,0,0,1,2,Crimes Against Persons,7,Murder,0.95,substring
13,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,13,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Due to Adultery,7,4,2,1,2,Crimes Against Persons,7,Murder,0.95,substring
14,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,14,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Civil Disputes,16,6,6,4,2,Crimes Against Persons,7,Murder,0.95,substring
15,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,15,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Electoral Gain,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
16,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,16,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Gang Rivalry,0,0,0,0,2,Crimes Against Persons,7,Murder,0.95,substring
17,CRIME_REVIEW_FOR_THE_MONTH_OF_APRIL_2026.csv,4,2026,17,A - IPC Crime,"Murder (Sec.302/303 IPC/103,104 BNS)",Love Intrigue,5,0,2,1,2,Crimes Against Persons,7,Murder,0.95,substring
